Sample;Bear;Date_1;days_old;Date_2;Pat_Number;split_pat;Other;North;East;Diet_Ants;Diet_Oats;Diet_Meat;Diet_Pork;Diet_Green;Diet_Blueberries;Diet_Lingonberries;Diet_Eggs;Diet_Moose;Diet_Cloudberries;Diet_NA;Diet_Bees;Diet_Sorbus;Diet_Apple;G._stercorosus;A._fimetarius;A._rufipes;A._depressus;A._fasciatus;A._piceus
20;Muori;26.08.08;3;29.08.08;;;;622357.3;235511.7;5;90;;;5;;;;;;;;;;;;;;;
17;Akka;20.08.08;8;28.08.08;;;;624815.9;243754.8;5;95;;;;;;;;;;;;;1;;;;;
15;Akka;22.08.08;6;28.08.08;;;;624835.6;244308.6;5;95;;;;;;;;;;;;;;;;;;
16;Akka;24.08.08;4;28.08.08;;;;625217.5;243711.6;2;96;2;;;;;;;;;;;;;;;;;
23;Renki;17.07.08;2;19.07.08;1;;;624332.4;244337.8;30;40;30;;;;;;;;;;;;;;;;;
30;Renki;17.07.08;2;19.07.08;2;;;624332.4;244337.8;40;40;20;;;;;;;;;;;;;;;;;
24;Renki;10.07.08;8;18.07.08;;;;624838.7;243923.8;15;;80;;;;;5;;;;;;;;;1;;;
32;Renki;11.07.08;7;18.07.08;;;;625907.9;243540.7;50;;50;;;;;;;;;;;;1;;;;;
25;Renki;15.07.08;3;18.07.08;1;;;630039.3;244239;20;;;;80;;;;;;;;;;1;;;;;
31;Renki;15.07.08;3;18.07.08;2;;;630039.9;244239;50;;;;50;;;;;;;;;;;;;;;
33;Renki;04.07.08;5;09.07.08;;;;622758.1;250908.4;15;;;;;;;;85;;;;;;1;;;;;
28;Renki;05.07.08;4;09.07.08;2;;;622824.4;245412.1;50;;;;30;;;;20;;;;;;1;;;;;
34;Renki;05.07.08;4;09.07.08;1;;;622824.4;245412.1;20;;;;30;;;;50;;;;;;2;;;;;
27;Renki;06.07.08;3;09.07.08;1;;;622520.9;245845.6;60;;;;39;;;;1;;;;;;1;;;;;
29;Renki;06.07.08;3;09.07.08;2;;;622520.9;245845.6;90;;1;;9;;;;;;;;;;3;;;;;
26;Renki;08.07.08;1;09.07.08;;;;623032.1;250116.19;100;;;;;;;;;;;;;;1;;;;;
18;Likka;18.06.08;7;25.06.08;;;;623013.5;244511.6;50;;1;;49;;;;;;;;;;;;5;;;
3;Akka;29.09.07;9;08.10.07;;;;625350.6;243757;;100;;;;;;;;;;;;;;;;;;
5;Akka;30.09.07;8;08.10.07;;;;625257.9;243545.1;;99;1;;;;;;;;;;;;;;;;;
4;Akka;01.10.07;7;08.10.07;;;;625115.8;243129.2;;100;;;;;;;;;;;;;;;;;;
6;Akka;03.10.07;5;08.10.07;;;;624829.9;242846;;100;;;;;;;;;;;;;;;;;;
8;Akka;04.10.07;4;08.10.07;;;;624323;242529.7;;100;;;;;;;;;;;;;;;;;;
12;Akka;24.09.07;13;07.10.07;;;;625454.5;242912.1;;100;;;;;;;;;;;;;;;;;;
14;Akka;25.09.07;12;07.10.07;;;;625457.9;242917.4;;100;;;;;;;;;;;;;;;;;;
11;Akka;26.09.07;11;07.10.07;;;;625446.8;242930.5;;100;;;;;;;;;;;;;;1;;;1;
10;Akka;27.09.07;10;07.10.07;;;;625550.4;243619.9;;100;;;;;;;;;;;;;;;;;;
9;Akka;28.09.07;9;07.10.07;;;;625551;242628.8;;100;;;;;;;;;;;;;;;;;;
46;Topi;10.09.07;5;15.09.07;;;;615858.1;290022.9;;;;80;;15;;;;;5;;;;;;;;;
