Sample;Species;Count;Comment;;;;;
8;Deliphrum tectum;2;;;;;;
8;Tachinus marginellus;1;;;;;;
8;Atheta aeneipennis;1;;;;;;
60;Deliphrum tectum;2;;;;;;
60;Proteinus brachypterus;2;;;;;;
60;Omalium caesum;2;;;;;;
60;Atheta dwinensis;2;;;;;;
60;Atheta aeneipennis;5;;;;;;
60;Atheta sodalis;1;;;;;;
60;Atheta parapicipennis;2;;;;;;
57;Deliphrum tectum;1;;;;;;
57;Atheta pilicornis;4;;;;;;
59;Atheta celata;1;;;;;;
59;Anopleta corvina;1;;;;;;
59;Omalium rivulare;1;;;;;;
59;Tachinus pallipes;1;;;;;;
59;Tachinus laticollis;3;;;;;;
62;Acrotona parvula;1; 1/2;;;;;
62;Atheta cinnamoptera;2; 1/2;;;;;
62;Sciodrepoides watsoni;1; 1/2;;;;;
62;Tachinus pallipes;1; 1/2;;;;;
62;Bisnius puella;2; 1/2;;;;;
54;Deliphrum tectum;6;;;;;;
54;Atheta cinnamoptera;3;;;;;;
54;Atheta aeneipennis;11;;;;;;
54;Atheta subtilis;2;;;;;;
54;Proteinus brachypterus;3;;;;;;
54;Omalium rivulare;15;;;;;;
54;Omalium rugatum;1;;;;;;
58;Deliphrum tectum;3;;;;;;
58;Atheta aeneipennis;2;;;;;;
58;Proteinus brachypterus;1;;;;;;
61;Deliphrum tectum;1;tai 19 (Osmo 62.56.46,1:25.05.09,6);;;;;
61;Proteinus brachypterus;1;tai 19 (Osmo 62.56.46,1:25.05.09,6);;;;;
56;Proteinus brachypterus;5;;;;;;
56;Omalium rivulare;1;;;;;;
56;Omalium rugatum;8;;;;;;
55;Deliphrum tectum;2;;;;;;
55;Atheta aeneipennis;2;;;;;;
55;Liogluta micans;1;;;;;;
55;Proteinus brachypterus;2;;;;;;
55;Omalium rivulare;1;;;;;;
55;Tachinus proximus;1;;;;;;
62;Sciodrepoides watsoni;3; 2/2;;;;;
62;Sciodrepoides fumatus;2; 2/2;;;;;
62;Atheta cinnamoptera;2; 2/2;;;;;
62;Atheta nesslingi;1; 2/2;;;;;
62;Aleochara moerens;1; 2/2;;;;;
62;Tachinus pallipes;4; 2/2;;;;;
62;Tachinus basalis;1; 2/2;;;;;
62;Omalium rivulare;3; 2/2;;;;;
62;Philonthus succicola;1; 2/2;;;;;
83;Deliphrum tectum;10;;;;;;
83;Atheta hypnorum;2;;;;;;
83;Atheta crassicornis/paracrassicornis;3;;;;;;
83;Atheta aeneipennis;1;;;;;;
83;Atheta longicornis;1;;;;;;
83;Atheta pilicornis;2;;;;;;
83;Atheta celata;2;;;;;;
83;Acrotona parvula;1;;;;;;
83;Anotylus clavatus;1;;;;;;
83;Omalium rivulare;4;;;;;;
83;Tachinus laticollis;1;;;;;;
83;Gabrius trossulus;1;;;;;;
82;Sciodrepoides fumatus;17;;;;;;
82;Sciodrepoides watsoni;9;;;;;;
82;Atheta aeneipennis;1;;;;;;
82;Atheta cinnamoptera;1;;;;;;
82;Atheta nesslingi;2;;;;;;
82;Atheta subtilis;1;;;;;;
82;Tachinus basalis;2;;;;;;
82;Tachinus proximus;1;;;;;;
82;Tachinus pallipes;1;;;;;;
82;Tachinus laticollis;5;;;;;;
82;Megarthrus nitidulus;7;;;;;;
82;Megarthrus depressus;2;;;;;;
82;Autalia longicornis;1;;;;;;
82;Omalium rivulare;3;;;;;;
82;Cercyon lateralis;6;;;;;;
82;Philonthus succicola;2;;;;;;
85;Atheta cribripennis;1;;;;;;
85;Platystethus arenarius;1;;;;;;
84;Atheta cinnamoptera;1;;;;;;
84;Atheta sodalis;1;;;;;;
84;Atheta cribripennis;1;;;;;;
84;Tachinus laticollis;1;;;;;;
84;Megarthrus fennicus;2;;;;;;
84;Cercyon lateralis;2;;;;;;
84;Platystethus arenarius;8;;;;;;
84;Malthodes fuscus;1;;;;;;
84;Anotylus clavatus;7;;;;;;
84;Bisnius puella;1;;;;;;
84;Baeocrara variolosa;2;;;;;;
87;Nicrophorus vespilloides;2;;;;;;
87;Sciodrepoides watsoni;4;;;;;;
87;Atheta aeneipennis;1;;;;;;
87;Tachinus pallipes;3;;;;;;
87;Tachinus laticollis;2;;;;;;
87;Philonthus addendus;1;;;;;;
89;Nicrophorus vespilloides;2;tai 68 (62.22.53,7: 28.09.32,4);;;;;
89;Sciodrepoides watsoni;10;tai 68 (62.22.53,7: 28.09.32,4);;;;;
89;Atheta cinnamoptera;1;tai 68 (62.22.53,7: 28.09.32,4);;;;;
89;Tachinus laticollis;5;tai 68 (62.22.53,7: 28.09.32,4);;;;;
89;Tachinus pallipes;2;tai 68 (62.22.53,7: 28.09.32,4);;;;;
89;Tachinus proximus;1;tai 68 (62.22.53,7: 28.09.32,4);;;;;
88;Sciodrepoides fumatus;8;;;;;;
88;Atheta cribripennis;2;;;;;;
88;Atheta cinnamoptera;1;;;;;;
88;Atheta aeneipennis;1;;;;;;
88;Baeocrara variolosa;1;;;;;;
88;Tachinus proximus;3;;;;;;
88;Tachinus laticollis;1;;;;;;
88;Megarthrus fennicus;2;;;;;;
90;Atheta aeneipennis;2;;;;;;
90;Atheta allocera;1;;;;;;
90;Atheta cribripennis;1;;;;;;
90;Atheta subtilis;5;;;;;;
90;Atheta nesslingi;1;;;;;;
90;Atheta celata;1;;;;;;
90;Tachinus pallipes;5;;;;;;
90;Tachinus proximus;3;;;;;;
90;Autalia longicornis;1;;;;;;
90;Omalium strigicolle;1;;;;;;
89;Sciodrepoides watsoni;7;;;;;;
89;Sciodrepoides fumatus;2;;;;;;
89;Aleochara moerens;1;;;;;;
89;Atheta cribripennis;1;;;;;;
89;Atheta subtilis;3;;;;;;
