Sample,Bear,Date_1,days_old,Date_2,Pat_Number,split_pat,Other,North,East,Diet_Ants,Diet_Oats,Diet_Meat,Diet_Pork,Diet_Green,Diet_Blueberries,Diet_Lingonberries,Diet_Eggs,Diet_Moose,Diet_Cloudberries,Diet_NA,Diet_Bees,Diet_Sorbus,Diet_Apple,Species,Count,Comment
17,Akka,20.08.08,8,28.08.08,NA,NA,,624815.9,243754.8,5,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
24,Renki,10.07.08,8,18.07.08,NA,NA,,624838.7,243923.8,15,NA,80,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,A._rufipes,1,NA
32,Renki,11.07.08,7,18.07.08,NA,NA,,625907.9,243540.7,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
25,Renki,15.07.08,3,18.07.08,1,NA,,630039.3,244239,20,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
33,Renki,04.07.08,5,09.07.08,NA,NA,,622758.1,250908.4,15,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,G._stercorosus,1,NA
28,Renki,05.07.08,4,09.07.08,2,NA,,622824.4,245412.1,50,NA,NA,NA,30,NA,NA,NA,20,NA,NA,NA,NA,NA,G._stercorosus,1,NA
34,Renki,05.07.08,4,09.07.08,1,NA,,622824.4,245412.1,20,NA,NA,NA,30,NA,NA,NA,50,NA,NA,NA,NA,NA,G._stercorosus,2,NA
27,Renki,06.07.08,3,09.07.08,1,NA,,622520.9,245845.6,60,NA,NA,NA,39,NA,NA,NA,1,NA,NA,NA,NA,NA,G._stercorosus,1,NA
29,Renki,06.07.08,3,09.07.08,2,NA,,622520.9,245845.6,90,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,3,NA
26,Renki,08.07.08,1,09.07.08,NA,NA,,623032.1,250116.19,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
18,Likka,18.06.08,7,25.06.08,NA,NA,,623013.5,244511.6,50,NA,1,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._rufipes,5,NA
11,Akka,26.09.07,11,07.10.07,NA,NA,,625446.8,242930.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fimetarius,1,NA
11,Akka,26.09.07,11,07.10.07,NA,NA,,625446.8,242930.5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,1,NA
39,Topi,12.09.07,3,15.09.07,NA,NA,,615952.8,290052.6,NA,40,NA,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
53,Topi,21.08.07,7,28.08.07,NA,NA,,621121.1,284633.3,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA,NA,NA,NA,A._fimetarius,1,NA
53,Topi,21.08.07,7,28.08.07,NA,NA,,621121.1,284633.3,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA,NA,NA,NA,A._rufipes,1,NA
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,5,NA
92,Osmo,09.07.07,3,12.07.07,NA,NA,,631853.1,245126.7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,5,NA
1,Akka,05.07.07,6,11.07.07,NA,NA,,625352.8,245434.4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
7,Akka,07.07.07,4,11.07.07,NA,NA,,624147.4,241347.1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
2,Akka,08.07.07,3,11.07.07,NA,NA,,623834.3,240954.6,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
13,Akka,06.07.07,4,10.07.07,NA,NA,,624009.2,241452.5,99,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
56,Osmo,02.10.06,NA,11.10.06,3,NA,,625721.7,250826.9,NA,80,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,3,NA
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,A._rufipes,1,NA
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,A._fasciatus,10,NA
74,Topi,17.09.06,1,18.09.06,4,NA,,615850.7,285845.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,G._stercorosus,1,NA
90,Junnu,25.07.06,6,31.07.06,NA,2,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,4,NA
94,Junnu,25.07.06,6,31.07.06,NA,1,,634859.5,284902.8,70,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,4,NA
37,Junnu,29.07.06,2,31.07.06,NA,NA,,634744.4,291948.4,4,NA,NA,5,NA,90,NA,NA,NA,1,NA,NA,NA,NA,G._stercorosus,3,NA
35,Junnu,08.07.06,5,14.07.06,NA,NA,,631210.6,285041.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,4,NA
36,Junnu,09.07.06,5,14.07.06,NA,NA,,632018.1,283557.1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._rufipes,2,NA
52,Topi/K3,31.05.06,1,01.06.06,NA,NA,,614627.3,290329.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
103,,21.07.05,5,26.07.05,1,NA,,622848.7,250416.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
107,,21.07.05,5,26.07.05,3,NA,,622848.7,250416.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,3,NA
106,,22.07.05,4,26.07.05,2,NA,,622456.4,245713.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,7,NA
108,,22.07.05,4,26.07.05,1,NA,,622456.4,245713.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,3,NA
109,,24.07.05,2,26.07.05,NA,1,hiekkatie,623423.1,245458.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,8,NA
101,,17.07.05,3,20.07.05,3,1,,622846.5,250405.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
102,,17.07.05,3,20.07.05,2,1,,622846.5,250405.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
104,,17.07.05,3,20.07.05,1,NA,,622846.5,250405.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
105,,17.07.05,3,20.07.05,3,2,,622846.5,250405.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
70,,,NA,25.09.04,7,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._depressus,1,NA
71,,,NA,25.09.04,4,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,1,NA
72,,,NA,25.09.04,1,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,1,NA
73,,,NA,25.09.04,5,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,4,NA
75,,,NA,25.09.04,3,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._rufipes,2,NA
75,,,NA,25.09.04,3,NA,,652524.2,281636.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._fasciatus,18,NA
87,,,1,28.07.04,NA,1,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
89,,,1,28.07.04,NA,2,4_piles,622253.7,280932.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,4,NA
88,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,1,NA
91,,,2,22.07.04,NA,NA,2_piles,621556.1,285653.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,2,NA
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._rufipes,1,NA
81,,,1,21.07.04,NA,3,5_piles,KoeKk2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._piceus,3,NA
84,,,1,21.07.04,NA,2,5_piles,KoeK2_200704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A._piceus,3,NA
93,,,NA,21.07.04,NA,2,2_piles,621254.4,290021.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G._stercorosus,3,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,2,
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus marginellus,1,
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,1,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Deliphrum tectum,2,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Proteinus brachypterus,2,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Omalium caesum,2,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Atheta dwinensis,2,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Atheta aeneipennis,5,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Atheta sodalis,1,
60,Osmo,02.10.06,NA,11.10.06,1,NA,,625721.7,250826.9,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,Atheta parapicipennis,2,
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,1,
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta pilicornis,4,
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta celata,1,
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anopleta corvina,1,
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,1,
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus laticollis,3,
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acrotona parvula,1, 1/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,2, 1/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,1, 1/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus pallipes,1, 1/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bisnius puella,2, 1/2
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,6,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,3,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,11,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta subtilis,2,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,3,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,15,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rugatum,1,
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,3,
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,2,
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,1,
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,1,"tai 19 (Osmo 62.56.46,1:25.05.09,6)"
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,1,"tai 19 (Osmo 62.56.46,1:25.05.09,6)"
56,Osmo,02.10.06,NA,11.10.06,3,NA,,625721.7,250826.9,NA,80,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,5,
56,Osmo,02.10.06,NA,11.10.06,3,NA,,625721.7,250826.9,NA,80,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
56,Osmo,02.10.06,NA,11.10.06,3,NA,,625721.7,250826.9,NA,80,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,Omalium rugatum,8,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deliphrum tectum,2,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta aeneipennis,2,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liogluta micans,1,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proteinus brachypterus,2,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Omalium rivulare,1,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tachinus proximus,1,
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides watsoni,3, 2/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sciodrepoides fumatus,2, 2/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta cinnamoptera,2, 2/2
62,Osmo,08.07.07,3,12.07.07,NA,NA,,622021.3,243537.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atheta nesslingi,1, 2/2
